task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,precision,tokens,browser_calls,latency_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin
task_0011,family_01,template_01,0.5,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,B-RAG-EMBED,1,0,0,1,4750,19,9270,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.0,0
task_0011,family_01,template_01,0.5,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0011,family_01,template_01,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,P-SPIDER-PARAM,1,0,0,1,850,11,1470,10,1,1,0,0.9828835751209741,4
task_0012,family_02,template_02,0.0,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,B-RAG-EMBED,1,0,0,1,750,11,1470,10,1,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,B-STAGEHAND-CACHE,1,0,0,1,550,11,1320,10,1,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,B-TERX-REPLAY,1,0,0,1,50,11,1320,10,1,1,0,0.5,2
task_0012,family_02,template_02,0.0,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.5180769944678167,2
task_0012,family_02,template_02,0.0,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0012,family_02,template_02,0.0,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.75,10,P-SPIDER-PARAM,1,0,1,0,5350,21,10270,0,0,1,0,0.08604003057680769,0
task_0013,family_02,template_02,0.75,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
